accountVo,add_time,address,areaCode,areaName,bussinessHours,cityCode,cityName,clientIp,configVo,countyCode,countyName,createTime,departmentNumber,headStoreId,id,isHeadStore,latitude,latitudeGoogle,longitude,longitudeGoogle,mapTypeCode,merchantName,onlineStatus,operateWid,originStoreName,originStoreNumber,originStoreStatus,parentDepartmentId,password,pid,provinceCode,provinceName,quarantineStatus,roleList,sendMessageVo,siteId,sortNum,storeArea,storeDescription,storeIdList,storeImageUrl,storeLogoUrl,storeName,storeNameList,storeNumber,storeNumberList,storeStatus,storeTagIdList,storeTagVoList,storeTel,storeType
None,2020-04-28,海外海外全境,None,None,"{""bussinessDay"":[1,2,3,4,5],""bussinessHours"":[""08:00-20:30""],""bTime"":{""name"":""周一至周五: 08:00-20:30"",""ids"":1,""wik"":[""周一"",""周二"",""周三"",""周四"",""周五""],""option"":[""08:00-20:30""],""$$hashKey"":""066"",""val"":[1,2,3,4,5]}}",990100,海外,None,None,990101,全境,1587744000000,None,None,2079937589,0,31.579226,None,120.495632,None,None,None,1,None,None,None,None,None,None,100000800589,990000,海外,0,None,None,None,0,None,None,None,None,https://image-c.weimobwmc.com/saas-wxbiz/93e870f4f8ad4ee78d9a91c6e8cd4014.png,销售专卖,None,0101001,None,1,None,None,13585925771,1
None,2020-04-28,湖北省黄冈市蓟春县漕河镇139号,None,None,"{""bussinessDay"":[1,2],""bussinessHours"":[""08:30-12:00"",""12:00-20:30""],""bTime"":{""name"":""周一、周二: 08:30-12:00、12:00-20:30"",""ids"":1,""wik"":[""周一"",""周二""],""option"":[""08:30-12:00"",""12:00-20:30""],""$$hashKey"":""05G"",""val"":[1,2]}}&&{""bussinessDay"":[3,4,5],""bussinessHours"":[""08:30-12:00"",""12:00-20:30""],""bTime"":{""name"":""周三至周五: 08:30-12:00、12:00-20:30"",""ids"":2,""wik"":[""周三"",""周四"",""周五""],""option"":[""08:30-12:00"",""12:00-20:30""],""$$hashKey"":""05T"",""val"":[3,4,5]}}",421100,黄冈市,None,None,421126,蕲春县,1587484800000,None,None,2075247589,0,30.250941,None,115.441958,None,None,None,1,None,None,None,None,None,None,100000800589,420000,湖北省,0,None,None,None,0,None,None,None,None,https://image-c.weimobwmc.com/saas-wxbiz/93e870f4f8ad4ee78d9a91c6e8cd4014.png,漕河一店,None,D07130075,None,1,None,None,13581258399,1
None,2020-04-28,山西省晋中市榆次区花园路路西中段雅迪电动车29号,None,None,"{""bussinessDay"":[1,2,3,4,5,6,7],""bussinessHours"":[""08:00-20:00""],""bTime"":{""name"":""周一至周日: 08:00-20:00"",""ids"":2,""wik"":[""周一"",""周二"",""周三"",""周四"",""周五"",""周六"",""周日""],""option"":[""08:00-20:00""],""$$hashKey"":""0SZ"",""val"":[1,2,3,4,5,6,7]}}",140700,晋中市,None,None,140702,榆次区,1585411200000,None,None,2045348589,0,37.683492,None,112.745907,None,None,None,1,None,None,None,None,None,None,100000800589,140000,山西省,0,None,None,None,0,None,None,None,None,https://image-c.weimobwmc.com/saas-wxbiz/0964ad5c428c4b46a578aae2c49801dc.png,晋中市榆次区花园路雅迪旗舰店,None,D03540147,None,1,None,None,13233035999,1
None,2020-04-28,浙江省嘉兴市嘉善县解放西路386号,None,None,"{""bussinessDay"":[1,2],""bussinessHours"":[""10:00-12:00"",""13:00-22:00""],""bTime"":{""name"":""周一、周二: 10:00-12:00、13:00-22:00"",""ids"":1,""wik"":[""周一"",""周二""],""option"":[""10:00-12:00"",""13:00-22:00""],""$$hashKey"":""2LA"",""val"":[1,2]}}&&{""bussinessDay"":[3,4,5],""bussinessHours"":[""10:00-12:00"",""13:00-14:00""],""bTime"":{""name"":""周三至周五: 10:00-12:00、13:00-14:00"",""ids"":2,""wik"":[""周三"",""周四"",""周五""],""option"":[""10:00-12:00"",""13:00-14:00""],""$$hashKey"":""2LN"",""val"":[3,4,5]}}",330400,嘉兴市,None,None,330421,嘉善县,1585411200000,None,None,2045160589,0,30.84509,None,120.914983,None,None,None,1,None,None,None,None,None,None,100000800589,330000,浙江省,0,None,None,None,0,None,None,None,None,https://image-c.weimobwmc.com/saas-wxbiz/0964ad5c428c4b46a578aae2c49801dc.png,嘉兴嘉善解放西路雅迪,None,D05730003,None,1,None,None,18057362088,1
None,2020-04-28,浙江省嘉兴市海盐县新桥北路148号,None,None,"{""bussinessDay"":[1,2],""bussinessHours"":[""10:00-12:00"",""13:00-22:00""],""bTime"":{""name"":""周一、周二: 10:00-12:00、13:00-22:00"",""ids"":1,""wik"":[""周一"",""周二""],""option"":[""10:00-12:00"",""13:00-22:00""],""$$hashKey"":""1W8"",""val"":[1,2]}}&&{""bussinessDay"":[3,4,5],""bussinessHours"":[""10:00-12:00"",""13:00-14:00""],""bTime"":{""name"":""周三至周五: 10:00-12:00、13:00-14:00"",""ids"":2,""wik"":[""周三"",""周四"",""周五""],""option"":[""10:00-12:00"",""13:00-14:00""],""$$hashKey"":""1WL"",""val"":[3,4,5]}}",330400,嘉兴市,None,None,330424,海盐县,1585411200000,None,None,2045157589,0,30.520877,None,120.949301,None,None,None,1,None,None,None,None,None,None,100000800589,330000,浙江省,0,None,None,None,0,None,None,None,None,https://image-c.weimobwmc.com/saas-wxbiz/0964ad5c428c4b46a578aae2c49801dc.png,海盐爱尚,None,D05730006,None,1,None,None,18257325978,1
None,2020-04-28,浙江省嘉兴市海宁市硖石街道水月亭西路101号,None,None,"{""bussinessDay"":[1,2],""bussinessHours"":[""10:00-12:00"",""13:00-22:00""],""bTime"":{""name"":""周一、周二: 10:00-12:00、13:00-22:00"",""ids"":1,""wik"":[""周一"",""周二""],""option"":[""10:00-12:00"",""13:00-22:00""],""$$hashKey"":""175"",""val"":[1,2]}}&&{""bussinessDay"":[3,4,5],""bussinessHours"":[""10:00-12:00"",""13:00-14:00""],""bTime"":{""name"":""周三至周五: 10:00-12:00、13:00-14:00"",""ids"":2,""wik"":[""周三"",""周四"",""周五""],""option"":[""10:00-12:00"",""13:00-14:00""],""$$hashKey"":""17I"",""val"":[3,4,5]}}",330400,嘉兴市,None,None,330481,海宁市,1585411200000,None,None,2045151589,0,30.523704,None,120.689579,None,None,None,1,None,None,None,None,None,None,100000800589,330000,浙江省,0,None,None,None,0,None,None,None,None,https://image-c.weimobwmc.com/saas-wxbiz/0964ad5c428c4b46a578aae2c49801dc.png,海宁西塞,None,D05730145,None,1,None,None,13516835103,1
None,2020-04-28,浙江省嘉兴市平湖市平湖街道当湖路111-127号,None,None,"{""bussinessDay"":[1,2],""bussinessHours"":[""10:00-12:00"",""13:00-22:00""],""bTime"":{""name"":""周一、周二: 10:00-12:00、13:00-22:00"",""ids"":1,""wik"":[""周一"",""周二""],""option"":[""10:00-12:00"",""13:00-22:00""],""$$hashKey"":""0HZ"",""val"":[1,2]}}&&{""bussinessDay"":[3,4,5],""bussinessHours"":[""10:00-12:00"",""13:00-14:00""],""bTime"":{""name"":""周三至周五: 10:00-12:00、13:00-14:00"",""ids"":2,""wik"":[""周三"",""周四"",""周五""],""option"":[""10:00-12:00"",""13:00-14:00""],""$$hashKey"":""0IC"",""val"":[3,4,5]}}",330400,嘉兴市,None,None,330482,平湖市,1585411200000,None,None,2045148589,0,30.687117,None,121.010833,None,None,None,1,None,None,None,None,None,None,100000800589,330000,浙江省,0,None,None,None,0,None,None,None,None,https://image-c.weimobwmc.com/saas-wxbiz/0964ad5c428c4b46a578aae2c49801dc.png,平湖天久,None,D05730005,None,1,None,None,13356066066,1
None,2020-04-28,江苏省无锡市锡山区安镇街道周圩巷雅迪科技集团有限公司(锡山大道),None,None,"{""bussinessDay"":[1],""bussinessHours"":[""08:00-20:00""],""bTime"":{""name"":""周一: 08:00-20:00"",""ids"":1,""wik"":[""周一""],""option"":[""08:00-20:00""],""$$hashKey"":""1FJ"",""val"":[1]}}",320200,无锡市,None,None,320205,锡山区,1585324800000,None,None,2044466589,0,31.57927,None,120.49649,None,None,None,1,None,None,None,None,None,None,100000800589,320000,江苏省,0,None,None,None,0,None,None,None,None,https://image-c.weimobwmc.com/saas-wxbiz/0964ad5c428c4b46a578aae2c49801dc.png,售后专用,None,A0510000,None,2,None,None,15906190713,1
None,2020-04-28,湖南省株洲市醴陵市株洲市醴陵市湘东摩托车大市场雅迪旗舰店,None,None,"{""bussinessDay"":[1,2,3,4,5,6,7],""bussinessHours"":[""08:00-12:00""],""bTime"":{""name"":""周一至周日: 08:00-12:00"",""ids"":1,""wik"":[""周一"",""周二"",""周三"",""周四"",""周五"",""周六"",""周日""],""option"":[""08:00-12:00""],""$$hashKey"":""0BT"",""val"":[1,2,3,4,5,6,7]}}",430200,株洲市,None,None,430281,醴陵市,1585324800000,None,None,2044395589,0,27.64613,None,113.496894,None,None,None,1,None,None,None,None,None,None,100000800589,430000,湖南省,0,None,None,None,0,None,None,None,None,https://image-c.weimobwmc.com/saas-wxbiz/0964ad5c428c4b46a578aae2c49801dc.png,株洲市醴陵市雅迪旗舰店,None,D07330048,None,1,None,None,15616379932,1
None,2020-04-28,山西省长治市潞州区城区桥北公交站后,None,None,"{""bussinessDay"":[1,2],""bussinessHours"":[""10:00-12:00"",""13:00-22:00""],""bTime"":{""name"":""周一、周二: 10:00-12:00、13:00-22:00"",""ids"":1,""wik"":[""周一"",""周二""],""option"":[""10:00-12:00"",""13:00-22:00""],""$$hashKey"":""7MG"",""val"":[1,2]}}&&{""bussinessDay"":[3,4,5],""bussinessHours"":[""10:00-12:00"",""13:00-14:00""],""bTime"":{""name"":""周三至周五: 10:00-12:00、13:00-14:00"",""ids"":2,""wik"":[""周三"",""周四"",""周五""],""option"":[""10:00-12:00"",""13:00-14:00""],""$$hashKey"":""7MT"",""val"":[3,4,5]}}",140400,长治市,None,None,140403,潞州区,1585324800000,None,None,2044227589,0,36.185986,None,113.103973,None,None,None,1,None,None,None,None,None,None,100000800589,140000,山西省,0,None,None,None,0,None,None,None,None,https://image-c.weimobwmc.com/saas-wxbiz/0964ad5c428c4b46a578aae2c49801dc.png,城区桥北雅迪旗舰店,None,D03550083,None,1,None,None,18203557001,1
